
***** Observations ORDER 1 *****
48 -> 58 : 3
48 -> 49 : 1
58 -> 48 : 3
58 -> 59 : 1
59 -> 58 : 1
59 -> 50 : 1
59 -> 69 : 1
49 -> 59 : 1
50 -> 59 : 1
69 -> 68 : 1
68 -> 67 : 1
67 -> 57 : 1
57 -> 47 : 1
45 -> 44 : 1
44 -> 34 : 1
44 -> 54 : 2
34 -> 44 : 1
54 -> 55 : 4
54 -> 53 : 2
55 -> 54 : 3
55 -> 65 : 1
65 -> 75 : 1
75 -> 85 : 1
85 -> 86 : 1
86 -> 76 : 1
86 -> 96 : 1
86 -> 87 : 3
76 -> 86 : 1
96 -> 86 : 1
87 -> 86 : 2
87 -> 97 : 1
97 -> 98 : 1
98 -> 99 : 1
99 -> 9 : 1
9 -> 8 : 1
9 -> 19 : 1
8 -> 9 : 1
19 -> 10 : 1
10 -> 11 : 1
11 -> 12 : 1
11 -> 21 : 1
12 -> 2 : 1
2 -> 1 : 1
1 -> 11 : 1
21 -> 20 : 1
21 -> 31 : 1
20 -> 21 : 1
31 -> 41 : 1
41 -> 51 : 1
41 -> 42 : 1
51 -> 52 : 1
51 -> 41 : 1
52 -> 62 : 2
52 -> 53 : 1
52 -> 42 : 1
62 -> 72 : 1
62 -> 52 : 1
62 -> 61 : 1
62 -> 52
 : 1
72 -> 71 : 2
71 -> 72 : 1
71 -> 81 : 1
71 -> 61 : 1
81 -> 71 : 1
61 -> 51 : 1
61 -> 62 : 1
42 -> 52 : 2
42 -> 43 : 1
53 -> 43 : 3
53 -> 54 : 1
53 -> 63 : 1
43 -> 42 : 1
43 -> 44 : 1
43 -> 53 : 2
63 -> 62 : 1


***** Distributions ORDER 1 *****
46 -> 47 : 0.5
46 -> 45 : 0.5
47 -> 48 : 0.5
47 -> 46 : 0.5
48 -> 58 : 0.75
48 -> 49 : 0.25
58 -> 48 : 0.75
58 -> 59 : 0.25
59 -> 58 : 0.3333333333333333
59 -> 50 : 0.3333333333333333
59 -> 69 : 0.3333333333333333
49 -> 59 : 1.0
50 -> 59 : 1.0
69 -> 68 : 1.0
68 -> 67 : 1.0
67 -> 57 : 1.0
57 -> 47 : 1.0
45 -> 44 : 1.0
44 -> 34 : 0.3333333333333333
44 -> 54 : 0.6666666666666666
34 -> 44 : 1.0
54 -> 55 : 0.6666666666666666
54 -> 53 : 0.3333333333333333
55 -> 54 : 0.75
55 -> 65 : 0.25
65 -> 75 : 1.0
75 -> 85 : 1.0
85 -> 86 : 1.0
86 -> 76 : 0.2
86 -> 96 : 0.2
86 -> 87 : 0.6
76 -> 86 : 1.0
96 -> 86 : 1.0
87 -> 86 : 0.6666666666666666
87 -> 97 : 0.3333333333333333
97 -> 98 : 1.0
98 -> 99 : 1.0
99 -> 9 : 1.0
9 -> 8 : 0.5
9 -> 19 : 0.5
8 -> 9 : 1.0
19 -> 10 : 1.0
10 -> 11 : 1.0
11 -> 12 : 0.5
11 -> 21 : 0.5
12 -> 2 : 1.0
2 -> 1 : 1.0
1 -> 11 : 1.0
21 -> 20 : 0.5
21 -> 31 : 0.5
20 -> 21 : 1.0
31 -> 41 : 1.0
41 -> 51 : 0.5
41 -> 42 : 0.5
51 -> 52 : 0.5
51 -> 41 : 0.5
52 -> 62 : 0.5
52 -> 53 : 0.25
52 -> 42 : 0.25
62 -> 72 : 0.25
62 -> 52 : 0.25
62 -> 61 : 0.25
62 -> 52
 : 0.25
72 -> 71 : 1.0
71 -> 72 : 0.3333333333333333
71 -> 81 : 0.3333333333333333
71 -> 61 : 0.3333333333333333
81 -> 71 : 1.0
61 -> 51 : 0.5
61 -> 62 : 0.5
42 -> 52 : 0.6666666666666666
42 -> 43 : 0.3333333333333333
53 -> 43 : 0.6
53 -> 54 : 0.2
53 -> 63 : 0.2
43 -> 42 : 0.25
43 -> 44 : 0.25
43 -> 53 : 0.5
63 -> 62 : 1.0


***** Observations ORDER 2 *****
47|46 -> 48 : 1
48|47 -> 58 : 1
58|48 -> 48 : 2
58|48 -> 59 : 1
48|58 -> 58 : 2
48|58 -> 49 : 1
59|58 -> 58 : 1
58|59 -> 48 : 1
59|49 -> 50 : 1
59|50 -> 69 : 1
47|57 -> 46 : 1
46|47 -> 45 : 1
44|45 -> 34 : 1
44|34 -> 54 : 1
54|44 -> 55 : 1
54|44 -> 53 : 1
55|54 -> 54 : 3
55|54 -> 65 : 1
54|55 -> 55 : 2
54|55 -> 53 : 1
86|85 -> 76 : 1
86|76 -> 96 : 1
86|96 -> 87 : 1
87|86 -> 86 : 2
87|86 -> 97 : 1
86|87 -> 87 : 2
9|99 -> 8 : 1
9|8 -> 19 : 1
11|10 -> 12 : 1
11|1 -> 21 : 1
21|11 -> 20 : 1
21|20 -> 31 : 1
41|31 -> 51 : 1
51|41 -> 52 : 1
52|51 -> 62 : 1
62|52 -> 72 : 1
62|52 -> 61 : 1
71|72 -> 72 : 1
71|72 -> 81 : 1
71|81 -> 61 : 1
61|71 -> 51 : 1
51|61 -> 41 : 1
41|51 -> 42 : 1
42|41 -> 52 : 1
52|42 -> 53 : 1
52|42 -> 42 : 1
53|52 -> 43 : 1
43|53 -> 42 : 1
43|53 -> 53 : 2
42|43 -> 52 : 1
42|52 -> 43 : 1
43|42 -> 44 : 1
44|43 -> 54 : 1
53|54 -> 43 : 2
53|43 -> 54 : 1
53|43 -> 63 : 1
54|53 -> 55 : 1
62|63 -> 52 : 1
52|62 -> 62 : 1
61|62 -> 62 : 1
62|61 -> 52
 : 1


***** Distributions ORDER 2 *****
47|46 -> 48 : 1.0
48|47 -> 58 : 1.0
58|48 -> 48 : 0.6666666666666666
58|48 -> 59 : 0.3333333333333333
48|58 -> 58 : 0.6666666666666666
48|58 -> 49 : 0.3333333333333333
59|58 -> 58 : 1.0
58|59 -> 48 : 1.0
59|49 -> 50 : 1.0
59|50 -> 69 : 1.0
47|57 -> 46 : 1.0
46|47 -> 45 : 1.0
44|45 -> 34 : 1.0
44|34 -> 54 : 1.0
54|44 -> 55 : 0.5
54|44 -> 53 : 0.5
55|54 -> 54 : 0.75
55|54 -> 65 : 0.25
54|55 -> 55 : 0.6666666666666666
54|55 -> 53 : 0.3333333333333333
86|85 -> 76 : 1.0
86|76 -> 96 : 1.0
86|96 -> 87 : 1.0
87|86 -> 86 : 0.6666666666666666
87|86 -> 97 : 0.3333333333333333
86|87 -> 87 : 1.0
9|99 -> 8 : 1.0
9|8 -> 19 : 1.0
11|10 -> 12 : 1.0
11|1 -> 21 : 1.0
21|11 -> 20 : 1.0
21|20 -> 31 : 1.0
41|31 -> 51 : 1.0
51|41 -> 52 : 1.0
52|51 -> 62 : 1.0
62|52 -> 72 : 0.5
62|52 -> 61 : 0.5
71|72 -> 72 : 0.5
71|72 -> 81 : 0.5
71|81 -> 61 : 1.0
61|71 -> 51 : 1.0
51|61 -> 41 : 1.0
41|51 -> 42 : 1.0
42|41 -> 52 : 1.0
52|42 -> 53 : 0.5
52|42 -> 42 : 0.5
53|52 -> 43 : 1.0
43|53 -> 42 : 0.3333333333333333
43|53 -> 53 : 0.6666666666666666
42|43 -> 52 : 1.0
42|52 -> 43 : 1.0
43|42 -> 44 : 1.0
44|43 -> 54 : 1.0
53|54 -> 43 : 1.0
53|43 -> 54 : 0.5
53|43 -> 63 : 0.5
54|53 -> 55 : 1.0
62|63 -> 52 : 1.0
52|62 -> 62 : 1.0
61|62 -> 62 : 1.0
62|61 -> 52
 : 1.0


***** Observations ORDER 3 *****
58|48.47 -> 48 : 1
48|58.48 -> 58 : 2
58|48.58 -> 48 : 1
58|48.58 -> 59 : 1
48|58.59 -> 49 : 1
54|44.34 -> 55 : 1
55|54.44 -> 54 : 1
54|55.54 -> 55 : 2
54|55.54 -> 53 : 1
55|54.55 -> 54 : 1
55|54.55 -> 65 : 1
87|86.96 -> 86 : 1
87|86.87 -> 86 : 1
87|86.87 -> 97 : 1
62|52.51 -> 72 : 1
71|72.62 -> 72 : 1
71|72.71 -> 81 : 1
52|42.41 -> 53 : 1
43|53.52 -> 42 : 1
52|42.43 -> 42 : 1
54|44.43 -> 53 : 1
43|53.54 -> 53 : 2
53|43.53 -> 54 : 1
53|43.53 -> 63 : 1
55|54.53 -> 54 : 1
62|52.62 -> 61 : 1


***** Distributions ORDER 3 *****
58|48.47 -> 48 : 1.0
48|58.48 -> 58 : 1.0
58|48.58 -> 48 : 0.5
58|48.58 -> 59 : 0.5
48|58.59 -> 49 : 1.0
54|44.34 -> 55 : 1.0
55|54.44 -> 54 : 1.0
54|55.54 -> 55 : 0.6666666666666666
54|55.54 -> 53 : 0.3333333333333333
55|54.55 -> 54 : 0.5
55|54.55 -> 65 : 0.5
87|86.96 -> 86 : 1.0
87|86.87 -> 86 : 0.5
87|86.87 -> 97 : 0.5
62|52.51 -> 72 : 1.0
71|72.62 -> 72 : 1.0
71|72.71 -> 81 : 1.0
52|42.41 -> 53 : 1.0
43|53.52 -> 42 : 1.0
52|42.43 -> 42 : 1.0
54|44.43 -> 53 : 1.0
43|53.54 -> 53 : 1.0
53|43.53 -> 54 : 0.5
53|43.53 -> 63 : 0.5
55|54.53 -> 54 : 1.0
62|52.62 -> 61 : 1.0


***** Observations ORDER 4 *****
58|48.58.48 -> 48 : 1
58|48.58.48 -> 59 : 1
54|55.54.44 -> 55 : 1
55|54.55.54 -> 54 : 1
55|54.55.54 -> 65 : 1
54|55.54.55 -> 55 : 1
87|86.87.86 -> 86 : 1
87|86.87.86 -> 97 : 1
53|43.53.54 -> 54 : 1
53|43.53.54 -> 63 : 1
54|55.54.53 -> 53 : 1


***** Distributions ORDER 4 *****
58|48.58.48 -> 48 : 0.5
58|48.58.48 -> 59 : 0.5
54|55.54.44 -> 55 : 1.0
55|54.55.54 -> 54 : 0.5
55|54.55.54 -> 65 : 0.5
54|55.54.55 -> 55 : 1.0
87|86.87.86 -> 86 : 0.5
87|86.87.86 -> 97 : 0.5
53|43.53.54 -> 54 : 0.5
53|43.53.54 -> 63 : 0.5
54|55.54.53 -> 53 : 1.0


***** Observations ORDER 5 *****
58|48.58.48.47 -> 48 : 1
58|48.58.48.58 -> 59 : 1
55|54.55.54.44 -> 54 : 1
55|54.55.54.55 -> 65 : 1
87|86.87.86.96 -> 86 : 1
87|86.87.86.87 -> 97 : 1
53|43.53.54.44 -> 54 : 1
53|43.53.54.55 -> 63 : 1


***** Distributions ORDER 5 *****
58|48.58.48.47 -> 48 : 1.0
58|48.58.48.58 -> 59 : 1.0
55|54.55.54.44 -> 54 : 1.0
55|54.55.54.55 -> 65 : 1.0
87|86.87.86.96 -> 86 : 1.0
