
***** Observations ORDER 1 *****
50 -> 51 : 0.3333333333333333
50 -> 60 : 0.3333333333333333
50 -> 40 : 0.3333333333333333
51 -> 61 : 0.3333333333333333
51 -> 41 : 0.3333333333333333
51 -> 50 : 0.3333333333333333
61 -> 62 : 0.5
61 -> 71 : 0.5
62 -> 72 : 1.0
72 -> 82 : 1.0
82 -> 92 : 1.0
92 -> 2 : 1.0
2 -> 12 : 1.0
12 -> 13 : 0.5
12 -> 22 : 0.5
13 -> 12 : 0.5
13 -> 23 : 0.5
22 -> 23 : 1.0
23 -> 13 : 0.3333333333333333
23 -> 24 : 0.3333333333333333
23 -> 33 : 0.3333333333333333
33 -> 43 : 1.0
43 -> 42 : 1.0
42 -> 52 : 0.3333333333333333
42 -> 43 : 0.3333333333333333
42 -> 41 : 0.3333333333333333
52 -> 42 : 1.0
41 -> 51 : 1.0
60 -> 61 : 0.5
60 -> 50 : 0.5
71 -> 70 : 1.0
70 -> 60 : 1.0
30 -> 20 : 1.0
20 -> 30 : 0.3333333333333333
20 -> 29 : 0.3333333333333333
20 -> 21 : 0.3333333333333333
29 -> 19 : 0.5
29 -> 20 : 0.5
19 -> 29 : 1.0
21 -> 31
 : 1.0


***** Observations ORDER 2 *****
17|16 -> 27 : 1
17|16 -> 7 : 1
27|17 -> 28 : 1
28|27 -> 27 : 1
28|27 -> 38 : 1
27|28 -> 26 : 1
26|27 -> 16 : 1
16|26 -> 15 : 1
16|26 -> 26 : 1
15|16 -> 25 : 1
25|15 -> 26 : 1
26|25 -> 36 : 1
36|26 -> 37 : 1
37|36 -> 36 : 1
36|37 -> 26 : 1
36|37 -> 35 : 1
26|36 -> 16 : 1
26|16 -> 27 : 1
27|26 -> 28 : 1
38|28 -> 37 : 1
38|28 -> 48 : 1
37|38 -> 36 : 1
25|35 -> 24 : 1
24|25 -> 14 : 1
15|14 -> 5 : 1
15|5 -> 16 : 1
16|15 -> 17 : 1
18|8 -> 17 : 1
17|18 -> 18 : 1
18|17 -> 28 : 1
28|18 -> 38 : 1
48|38 -> 49 : 1
49|48 -> 59 : 1
49|48 -> 48 : 1
49|48 -> 40 : 1
59|49 -> 69 : 1
59|69 -> 58 : 1
47|57 -> 48 : 1
48|47 -> 49 : 2
48|49 -> 47 : 1
47|48 -> 37 : 1
37|47 -> 47 : 1
47|37 -> 48 : 1
40|49 -> 50 : 1
50|40 -> 51 : 1
51|50 -> 61 : 1
61|51 -> 62 : 1
12|2 -> 13 : 1
13|12 -> 12 : 1
12|13 -> 22 : 1
23|22 -> 13 : 1
13|23 -> 23 : 1
23|13 -> 24 : 1
24|23 -> 23 : 1
23|24 -> 33 : 1
42|43 -> 52 : 1
42|43 -> 41 : 1
42|52 -> 43 : 1
51|41 -> 41 : 1
51|41 -> 50 : 1
50|51 -> 60 : 1
60|50 -> 61 : 1
61|60 -> 71 : 1
60|70 -> 50 : 1
50|60 -> 40 : 1
40|50 -> 30 : 1
20|30 -> 30 : 1
20|30 -> 29 : 1
29|20 -> 19 : 1
29|19 -> 20 : 1
20|29 -> 21 : 1


***** Distributions ORDER 2 *****
17|16 -> 27 : 0.5
17|16 -> 7 : 0.5
27|17 -> 28 : 1.0
28|27 -> 27 : 0.5
28|27 -> 38 : 0.5
27|28 -> 26 : 1.0
26|27 -> 16 : 1.0
16|26 -> 15 : 0.5
16|26 -> 26 : 0.5
15|16 -> 25 : 1.0
25|15 -> 26 : 1.0
26|25 -> 36 : 1.0
36|26 -> 37 : 1.0
37|36 -> 36 : 1.0
36|37 -> 26 : 0.5
36|37 -> 35 : 0.5
26|36 -> 16 : 1.0
26|16 -> 27 : 1.0
27|26 -> 28 : 1.0
38|28 -> 37 : 0.5
38|28 -> 48 : 0.5
37|38 -> 36 : 1.0
25|35 -> 24 : 1.0
24|25 -> 14 : 1.0
15|14 -> 5 : 1.0
15|5 -> 16 : 1.0
16|15 -> 17 : 1.0
18|8 -> 17 : 1.0
17|18 -> 18 : 1.0
18|17 -> 28 : 1.0
28|18 -> 38 : 1.0
48|38 -> 49 : 1.0
49|48 -> 59 : 0.3333333333333333
49|48 -> 48 : 0.3333333333333333
49|48 -> 40 : 0.3333333333333333
59|49 -> 69 : 1.0
59|69 -> 58 : 1.0
47|57 -> 48 : 1.0
48|47 -> 49 : 1.0
48|49 -> 47 : 1.0
47|48 -> 37 : 1.0
37|47 -> 47 : 1.0
47|37 -> 48 : 1.0
40|49 -> 50 : 1.0
50|40 -> 51 : 1.0
51|50 -> 61 : 1.0
61|51 -> 62 : 1.0
12|2 -> 13 : 1.0
13|12 -> 12 : 1.0
12|13 -> 22 : 1.0
23|22 -> 13 : 1.0
13|23 -> 23 : 1.0
23|13 -> 24 : 1.0
24|23 -> 23 : 1.0
23|24 -> 33 : 1.0
42|43 -> 52 : 0.5
42|43 -> 41 : 0.5
42|52 -> 43 : 1.0
51|41 -> 41 : 0.5
51|41 -> 50 : 0.5
50|51 -> 60 : 1.0
60|50 -> 61 : 1.0
61|60 -> 71 : 1.0
60|70 -> 50 : 1.0
50|60 -> 40 : 1.0
40|50 -> 30 : 1.0
20|30 -> 30 : 0.5
20|30 -> 29 : 0.5
29|20 -> 19 : 1.0
29|19 -> 20 : 1.0
20|29 -> 21 : 1.0


***** Observations ORDER 3 *****
28|27.17 -> 27 : 1
16|26.27 -> 15 : 1
36|37.36 -> 26 : 1
16|26.36 -> 26 : 1
28|27.26 -> 38 : 1
38|28.27 -> 37 : 1
36|37.38 -> 35 : 1
17|16.15 -> 7 : 1
38|28.18 -> 48 : 1
49|48.38 -> 59 : 1
49|48.47 -> 48 : 1
49|48.47 -> 40 : 1
42|43.33 -> 52 : 1
42|43.42 -> 41 : 1
51|41.42 -> 41 : 1
51|41.51 -> 50 : 1
20|30.40 -> 30 : 1
20|30.20 -> 29 : 1


***** Distributions ORDER 3 *****
28|27.17 -> 27 : 1.0
16|26.27 -> 15 : 1.0
36|37.36 -> 26 : 1.0
16|26.36 -> 26 : 1.0
28|27.26 -> 38 : 1.0
38|28.27 -> 37 : 1.0
36|37.38 -> 35 : 1.0
17|16.15 -> 7 : 1.0
38|28.18 -> 48 : 1.0
49|48.38 -> 59 : 1.0
49|48.47 -> 48 : 0.5
49|48.47 -> 40 : 0.5
42|43.33 -> 52 : 1.0
42|43.42 -> 41 : 1.0
51|41.42 -> 41 : 1.0
51|41.51 -> 50 : 1.0
20|30.40 -> 30 : 1.0
20|30.20 -> 29 : 1.0


***** Observations ORDER 4 *****
49|48.47.57 -> 48 : 1
49|48.47.37 -> 40 : 1


***** Distributions ORDER 4 *****
49|48.47.57 -> 48 : 1.0
49|48.47.37 -> 40 : 1.0


***** Observations ORDER 1 *****
0 -> 1 : 1
1 -> 2 : 2
1 -> 91 : 1
2 -> 12 : 2
2 -> 1 : 1
2 -> 3 : 1
12 -> 2 : 1
12 -> 11 : 1
12 -> 13 : 1
91 -> 90 : 1
91 -> 1 : 1
90 -> 91 : 1
3 -> 2 : 1
11 -> 21 : 1
21 -> 22 : 2
22 -> 21 : 1
22 -> 12 : 1
22 -> 23 : 1
13 -> 14 : 1
14 -> 15 : 1
15 -> 5 : 1
5 -> 95 : 1
95 -> 94 : 1
95 -> 85 : 2
94 -> 84 : 1
94 -> 93 : 1
94 -> 95 : 1
84 -> 94 : 1
84 -> 94
 : 1
93 -> 94 : 1
85 -> 95 : 1
85 -> 86 : 1
85 -> 84 : 1
86 -> 87 : 2
87 -> 77 : 2
77 -> 76 : 1
77 -> 67 : 1
76 -> 86 : 1
67 -> 57 : 3
57 -> 67 : 2
57 -> 58 : 1
57 -> 56 : 1
58 -> 57 : 1
56 -> 55 : 1
55 -> 65 : 1
65 -> 64 : 1
64 -> 74 : 1
64 -> 54 : 1
74 -> 75 : 2
74 -> 64 : 1
75 -> 74 : 1
75 -> 85 : 1
54 -> 44 : 1
44 -> 34 : 1
34 -> 33 : 2
33 -> 32 : 1
33 -> 43 : 1
32 -> 22 : 1
23 -> 24 : 1
24 -> 25 : 1
24 -> 34 : 1
25 -> 24 : 1
43 -> 53 : 1
53 -> 52 : 1
52 -> 51 : 2
52 -> 62 : 1
51 -> 50 : 1
51 -> 52 : 1
51 -> 41 : 1
50 -> 51 : 1
50 -> 59 : 1
50 -> 60 : 1
62 -> 52 : 1
62 -> 72 : 1
62 -> 63 : 1
41 -> 40 : 1
40 -> 49 : 1
49 -> 59 : 1
59 -> 50 : 2
60 -> 61 : 1
61 -> 71 : 1
71 -> 72 : 1
72 -> 62 : 2
63 -> 73 : 1
73 -> 74 : 1


***** Distributions ORDER 1 *****
0 -> 1 : 1.0
1 -> 2 : 0.6666666666666666
1 -> 91 : 0.3333333333333333
2 -> 12 : 0.5
2 -> 1 : 0.25
2 -> 3 : 0.25
12 -> 2 : 0.3333333333333333
12 -> 11 : 0.3333333333333333
12 -> 13 : 0.3333333333333333
91 -> 90 : 0.5
91 -> 1 : 0.5
90 -> 91 : 1.0
3 -> 2 : 1.0
11 -> 21 : 1.0
21 -> 22 : 1.0
22 -> 21 : 0.3333333333333333
22 -> 12 : 0.3333333333333333
22 -> 23 : 0.3333333333333333
13 -> 14 : 1.0
14 -> 15 : 1.0
15 -> 5 : 1.0
5 -> 95 : 1.0
95 -> 94 : 0.3333333333333333
95 -> 85 : 0.6666666666666666
94 -> 84 : 0.3333333333333333
94 -> 93 : 0.3333333333333333
94 -> 95 : 0.3333333333333333
84 -> 94 : 0.5
84 -> 94
 : 0.5
93 -> 94 : 1.0
85 -> 95 : 0.3333333333333333
85 -> 86 : 0.3333333333333333
85 -> 84 : 0.3333333333333333
86 -> 87 : 1.0
87 -> 77 : 1.0
77 -> 76 : 0.5
77 -> 67 : 0.5
76 -> 86 : 1.0
67 -> 57 : 1.0
57 -> 67 : 0.5
57 -> 58 : 0.25
57 -> 56 : 0.25
58 -> 57 : 1.0
56 -> 55 : 1.0
55 -> 65 : 1.0
65 -> 64 : 1.0
64 -> 74 : 0.5
64 -> 54 : 0.5
74 -> 75 : 0.6666666666666666
74 -> 64 : 0.3333333333333333
75 -> 74 : 0.5
75 -> 85 : 0.5
54 -> 44 : 1.0
44 -> 34 : 1.0
34 -> 33 : 1.0
33 -> 32 : 0.5
33 -> 43 : 0.5
32 -> 22 : 1.0
23 -> 24 : 1.0
24 -> 25 : 0.5
24 -> 34 : 0.5
25 -> 24 : 1.0
43 -> 53 : 1.0
53 -> 52 : 1.0
52 -> 51 : 0.6666666666666666
52 -> 62 : 0.3333333333333333
51 -> 50 : 0.3333333333333333
51 -> 52 : 0.3333333333333333
51 -> 41 : 0.3333333333333333
50 -> 51 : 0.3333333333333333
50 -> 59 : 0.3333333333333333
50 -> 60 : 0.3333333333333333
62 -> 52 : 0.3333333333333333
62 -> 72 : 0.3333333333333333
62 -> 63 : 0.3333333333333333
41 -> 40 : 1.0
40 -> 49 : 1.0
49 -> 59 : 1.0
59 -> 50 : 1.0
60 -> 61 : 1.0
61 -> 71 : 1.0
71 -> 72 : 1.0
72 -> 62 : 1.0
63 -> 73 : 1.0
73 -> 74 : 1.0


***** Observations ORDER 2 *****
1|0 -> 2 : 1
2|1 -> 12 : 1
2|1 -> 3 : 1
12|2 -> 2 : 1
12|2 -> 11 : 1
2|12 -> 1 : 1
1|2 -> 91 : 1
91|1 -> 90 : 1
91|90 -> 1 : 1
1|91 -> 2 : 1
2|3 -> 12 : 1
22|21 -> 21 : 1
22|21 -> 12 : 1
12|22 -> 13 : 1
95|5 -> 94 : 1
94|95 -> 84 : 1
84|94 -> 94 : 1
94|84 -> 93 : 1
94|93 -> 95 : 1
95|94 -> 85 : 1
85|95 -> 95 : 1
85|95 -> 86 : 1
95|85 -> 85 : 1
77|87 -> 76 : 1
77|87 -> 67 : 1
57|67 -> 67 : 2
57|67 -> 58 : 1
57|58 -> 56 : 1
64|65 -> 74 : 1
74|64 -> 75 : 1
75|74 -> 74 : 1
75|74 -> 85 : 1
74|75 -> 64 : 1
64|74 -> 54 : 1
33|34 -> 32 : 1
33|34 -> 43 : 1
22|32 -> 23 : 1
24|23 -> 25 : 1
24|25 -> 34 : 1
52|53 -> 51 : 1
51|52 -> 50 : 1
51|52 -> 41 : 1
50|51 -> 51 : 1
51|50 -> 52 : 1
52|51 -> 62 : 1
62|52 -> 52 : 1
52|62 -> 51 : 1
50|59 -> 59 : 1
50|59 -> 60 : 1
62|72 -> 72 : 1
62|72 -> 63 : 1
74|73 -> 75 : 1
85|75 -> 84 : 1
84|85 -> 94
 : 1


***** Distributions ORDER 2 *****
1|0 -> 2 : 1.0
2|1 -> 12 : 0.5
2|1 -> 3 : 0.5
12|2 -> 2 : 0.5
12|2 -> 11 : 0.5
2|12 -> 1 : 1.0
1|2 -> 91 : 1.0
91|1 -> 90 : 1.0
91|90 -> 1 : 1.0
1|91 -> 2 : 1.0
2|3 -> 12 : 1.0
22|21 -> 21 : 0.5
22|21 -> 12 : 0.5
12|22 -> 13 : 1.0
95|5 -> 94 : 1.0
94|95 -> 84 : 1.0
84|94 -> 94 : 1.0
94|84 -> 93 : 1.0
94|93 -> 95 : 1.0
95|94 -> 85 : 1.0
85|95 -> 95 : 0.5
85|95 -> 86 : 0.5
95|85 -> 85 : 1.0
77|87 -> 76 : 0.5
77|87 -> 67 : 0.5
57|67 -> 67 : 0.6666666666666666
57|67 -> 58 : 0.3333333333333333
57|58 -> 56 : 1.0
64|65 -> 74 : 1.0
74|64 -> 75 : 1.0
75|74 -> 74 : 0.5
75|74 -> 85 : 0.5
74|75 -> 64 : 1.0
64|74 -> 54 : 1.0
33|34 -> 32 : 0.5
33|34 -> 43 : 0.5
22|32 -> 23 : 1.0
24|23 -> 25 : 1.0
24|25 -> 34 : 1.0
52|53 -> 51 : 1.0
51|52 -> 50 : 0.5
51|52 -> 41 : 0.5
50|51 -> 51 : 1.0
51|50 -> 52 : 1.0
52|51 -> 62 : 1.0
62|52 -> 52 : 1.0
52|62 -> 51 : 1.0
50|59 -> 59 : 0.5
50|59 -> 60 : 0.5
62|72 -> 72 : 0.5
62|72 -> 63 : 0.5
74|73 -> 75 : 1.0
85|75 -> 84 : 1.0
84|85 -> 94
 : 1.0


***** Observations ORDER 3 *****
2|1.0 -> 12 : 1
12|2.1 -> 2 : 1
2|1.91 -> 3 : 1
12|2.3 -> 11 : 1
22|21.11 -> 21 : 1
22|21.22 -> 12 : 1
85|95.94 -> 95 : 1
85|95.85 -> 86 : 1
77|87.86 -> 76 : 1
77|87.86 -> 67 : 1
57|67.77 -> 67 : 1
57|67.57 -> 67 : 1
57|67.57 -> 58 : 1
75|74.64 -> 74 : 1
33|34.44 -> 32 : 1
33|34.24 -> 43 : 1
51|52.53 -> 50 : 1
51|52.62 -> 41 : 1
50|59.49 -> 59 : 1
50|59.50 -> 60 : 1
62|72.71 -> 72 : 1
62|72.62 -> 63 : 1
75|74.73 -> 85 : 1


***** Distributions ORDER 3 *****
2|1.0 -> 12 : 1.0
12|2.1 -> 2 : 1.0
2|1.91 -> 3 : 1.0
12|2.3 -> 11 : 1.0
22|21.11 -> 21 : 1.0
22|21.22 -> 12 : 1.0
85|95.94 -> 95 : 1.0
85|95.85 -> 86 : 1.0
77|87.86 -> 76 : 0.5
77|87.86 -> 67 : 0.5
57|67.77 -> 67 : 1.0
57|67.57 -> 67 : 0.5
57|67.57 -> 58 : 0.5
75|74.64 -> 74 : 1.0
33|34.44 -> 32 : 1.0
33|34.24 -> 43 : 1.0
51|52.53 -> 50 : 1.0
51|52.62 -> 41 : 1.0
50|59.49 -> 59 : 1.0
50|59.50 -> 60 : 1.0
62|72.71 -> 72 : 1.0
62|72.62 -> 63 : 1.0
75|74.73 -> 85 : 1.0


***** Observations ORDER 4 *****
77|87.86.85 -> 76 : 1
77|87.86.76 -> 67 : 1
57|67.57.67 -> 67 : 1
57|67.57.67 -> 58 : 1


***** Distributions ORDER 4 *****
77|87.86.85 -> 76 : 1.0
77|87.86.76 -> 67 : 1.0
57|67.57.67 -> 67 : 0.5
57|67.57.67 -> 58 : 0.5


***** Observations ORDER 5 *****
57|67.57.67.77 -> 67 : 1
57|67.57.67.57 -> 58 : 1


***** Distributions ORDER 5 *****
57|67.57.67.77 -> 67 : 1.0
57|67.57.67.57 -> 58 : 1.0


***** Observations ORDER 1 *****
80 -> 90 : 1
80 -> 81 : 1
90 -> 80 : 1
90 -> 91 : 1
90 -> 99 : 1
81 -> 91 : 1
91 -> 90 : 2
91 -> 1 : 1
1 -> 0 : 1
1 -> 11 : 1
1 -> 91 : 1
0 -> 10 : 1
0 -> 1 : 1
10 -> 0 : 1
11 -> 12 : 1
12 -> 22 : 1
22 -> 32 : 1
32 -> 31 : 1
31 -> 21 : 1
31 -> 41 : 1
21 -> 31 : 1
41 -> 40 : 1
41 -> 51 : 1
40 -> 41 : 1
51 -> 61 : 2
51 -> 52 : 1
61 -> 71 : 2
61 -> 60 : 2
61 -> 62 : 4
61 -> 51 : 1
71 -> 61 : 4
71 -> 72 : 1
71 -> 72
 : 1
60 -> 61 : 1
60 -> 69 : 1
60 -> 70 : 1
62 -> 61 : 2
62 -> 63 : 1
62 -> 52 : 1
62 -> 72 : 1
63 -> 64 : 1
64 -> 74 : 1
74 -> 84 : 2
84 -> 74 : 1
84 -> 83 : 2
83 -> 82 : 2
83 -> 93 : 1
82 -> 72 : 2
72 -> 71 : 3
72 -> 73 : 1
69 -> 79 : 1
69 -> 60 : 1
79 -> 69 : 1
70 -> 71 : 1
52 -> 62 : 1
52 -> 51 : 1
73 -> 83 : 1
93 -> 94 : 2
94 -> 93 : 1
94 -> 4 : 1
94 -> 84 : 1
4 -> 3 : 1
3 -> 2 : 1
2 -> 1 : 1
99 -> 89 : 1
99 -> 9 : 1
99 -> 98 : 2
89 -> 99 : 1
9 -> 8 : 1
8 -> 98 : 1
98 -> 99 : 2
98 -> 97 : 2
98 -> 88 : 1
97 -> 98 : 1
97 -> 96 : 1
88 -> 98 : 1
96 -> 95 : 1
95 -> 94 : 1


***** Distributions ORDER 1 *****
80 -> 90 : 0.5
80 -> 81 : 0.5
90 -> 80 : 0.3333333333333333
90 -> 91 : 0.3333333333333333
90 -> 99 : 0.3333333333333333
81 -> 91 : 1.0
91 -> 90 : 0.6666666666666666
91 -> 1 : 0.3333333333333333
1 -> 0 : 0.3333333333333333
1 -> 11 : 0.3333333333333333
1 -> 91 : 0.3333333333333333
0 -> 10 : 0.5
0 -> 1 : 0.5
10 -> 0 : 1.0
11 -> 12 : 1.0
12 -> 22 : 1.0
22 -> 32 : 1.0
32 -> 31 : 1.0
31 -> 21 : 0.5
31 -> 41 : 0.5
21 -> 31 : 1.0
41 -> 40 : 0.5
41 -> 51 : 0.5
40 -> 41 : 1.0
51 -> 61 : 0.6666666666666666
51 -> 52 : 0.3333333333333333
61 -> 71 : 0.2222222222222222
61 -> 60 : 0.2222222222222222
61 -> 62 : 0.4444444444444444
61 -> 51 : 0.1111111111111111
71 -> 61 : 0.6666666666666666
71 -> 72 : 0.16666666666666666
71 -> 72
 : 0.16666666666666666
60 -> 61 : 0.3333333333333333
60 -> 69 : 0.3333333333333333
60 -> 70 : 0.3333333333333333
62 -> 61 : 0.4
62 -> 63 : 0.2
62 -> 52 : 0.2
62 -> 72 : 0.2
63 -> 64 : 1.0
64 -> 74 : 1.0
74 -> 84 : 1.0
84 -> 74 : 0.3333333333333333
84 -> 83 : 0.6666666666666666
83 -> 82 : 0.6666666666666666
83 -> 93 : 0.3333333333333333
82 -> 72 : 1.0
72 -> 71 : 0.75
72 -> 73 : 0.25
69 -> 79 : 0.5
69 -> 60 : 0.5
79 -> 69 : 1.0
70 -> 71 : 1.0
52 -> 62 : 0.5
52 -> 51 : 0.5
73 -> 83 : 1.0
93 -> 94 : 1.0
94 -> 93 : 0.3333333333333333
94 -> 4 : 0.3333333333333333
94 -> 84 : 0.3333333333333333
4 -> 3 : 1.0
3 -> 2 : 1.0
2 -> 1 : 1.0
99 -> 89 : 0.25
99 -> 9 : 0.25
99 -> 98 : 0.5
89 -> 99 : 1.0
9 -> 8 : 1.0
8 -> 98 : 1.0
98 -> 99 : 0.4
98 -> 97 : 0.4
98 -> 88 : 0.2
97 -> 98 : 0.5
97 -> 96 : 0.5
88 -> 98 : 1.0
96 -> 95 : 1.0
95 -> 94 : 1.0


***** Observations ORDER 2 *****
90|80 -> 80 : 1
80|90 -> 81 : 1
91|81 -> 90 : 1
90|91 -> 91 : 1
90|91 -> 99 : 1
91|90 -> 1 : 1
1|91 -> 0 : 1
0|1 -> 10 : 1
0|10 -> 1 : 1
1|0 -> 11 : 1
31|32 -> 21 : 1
31|21 -> 41 : 1
41|31 -> 40 : 1
41|40 -> 51 : 1
51|41 -> 61 : 1
61|51 -> 71 : 2
71|61 -> 61 : 2
61|71 -> 60 : 2
61|71 -> 62 : 2
60|61 -> 61 : 1
60|61 -> 69 : 1
61|60 -> 62 : 1
62|61 -> 61 : 1
62|61 -> 63 : 1
62|61 -> 52 : 1
62|61 -> 72 : 1
61|62 -> 62 : 1
61|62 -> 51 : 1
84|74 -> 74 : 1
84|74 -> 83 : 1
83|84 -> 82 : 2
72|82 -> 71 : 2
71|72 -> 61 : 2
71|72 -> 72
 : 1
69|60 -> 79 : 1
69|79 -> 60 : 1
60|69 -> 70 : 1
71|70 -> 72 : 1
72|71 -> 71 : 1
52|62 -> 62 : 1
62|52 -> 61 : 1
51|61 -> 52 : 1
52|51 -> 51 : 1
51|52 -> 61 : 1
72|62 -> 73 : 1
83|73 -> 93 : 1
94|93 -> 93 : 1
94|93 -> 4 : 1
1|2 -> 91 : 1
91|1 -> 90 : 1
99|90 -> 89 : 1
99|89 -> 9 : 1
98|8 -> 99 : 1
99|98 -> 98 : 2
98|99 -> 99 : 1
98|99 -> 97 : 1
97|98 -> 98 : 1
97|98 -> 96 : 1
98|97 -> 88 : 1
98|88 -> 97 : 1
94|95 -> 84 : 1
84|94 -> 83 : 1


***** Distributions ORDER 2 *****
90|80 -> 80 : 1.0
80|90 -> 81 : 1.0
91|81 -> 90 : 1.0
90|91 -> 91 : 0.5
90|91 -> 99 : 0.5
91|90 -> 1 : 1.0
1|91 -> 0 : 1.0
0|1 -> 10 : 1.0
0|10 -> 1 : 1.0
1|0 -> 11 : 1.0
31|32 -> 21 : 1.0
31|21 -> 41 : 1.0
41|31 -> 40 : 1.0
41|40 -> 51 : 1.0
51|41 -> 61 : 1.0
61|51 -> 71 : 1.0
71|61 -> 61 : 1.0
61|71 -> 60 : 0.5
61|71 -> 62 : 0.5
60|61 -> 61 : 0.5
60|61 -> 69 : 0.5
61|60 -> 62 : 1.0
62|61 -> 61 : 0.25
62|61 -> 63 : 0.25
62|61 -> 52 : 0.25
62|61 -> 72 : 0.25
61|62 -> 62 : 0.5
61|62 -> 51 : 0.5
84|74 -> 74 : 0.5
84|74 -> 83 : 0.5
83|84 -> 82 : 1.0
72|82 -> 71 : 1.0
71|72 -> 61 : 0.6666666666666666
71|72 -> 72
 : 0.3333333333333333
69|60 -> 79 : 1.0
69|79 -> 60 : 1.0
60|69 -> 70 : 1.0
71|70 -> 72 : 1.0
72|71 -> 71 : 1.0
52|62 -> 62 : 1.0
62|52 -> 61 : 1.0
51|61 -> 52 : 1.0
52|51 -> 51 : 1.0
51|52 -> 61 : 1.0
72|62 -> 73 : 1.0
83|73 -> 93 : 1.0
94|93 -> 93 : 0.5
94|93 -> 4 : 0.5
1|2 -> 91 : 1.0
91|1 -> 90 : 1.0
99|90 -> 89 : 1.0
99|89 -> 9 : 1.0
98|8 -> 99 : 1.0
99|98 -> 98 : 1.0
98|99 -> 99 : 0.5
98|99 -> 97 : 0.5
97|98 -> 98 : 0.5
97|98 -> 96 : 0.5
98|97 -> 88 : 1.0
98|88 -> 97 : 1.0
94|95 -> 84 : 1.0
84|94 -> 83 : 1.0


***** Observations ORDER 3 *****
90|91.81 -> 91 : 1
61|71.61 -> 60 : 1
61|71.61 -> 62 : 1
60|61.71 -> 61 : 1
60|61.71 -> 69 : 1
62|61.60 -> 61 : 1
61|62.61 -> 62 : 1
62|61.62 -> 63 : 1
84|74.64 -> 74 : 1
84|74.84 -> 83 : 1
71|72.82 -> 61 : 1
71|72.82 -> 72
 : 1
61|71.72 -> 60 : 1
61|71.72 -> 62 : 1
71|72.71 -> 61 : 1
62|61.71 -> 52 : 1
62|61.71 -> 72 : 1
61|62.52 -> 51 : 1
94|93.83 -> 93 : 1
94|93.94 -> 4 : 1
90|91.1 -> 99 : 1
98|99.98 -> 99 : 1
98|99.98 -> 97 : 1
97|98.99 -> 98 : 1
97|98.88 -> 96 : 1


***** Distributions ORDER 3 *****
90|91.81 -> 91 : 1.0
61|71.61 -> 60 : 0.5
61|71.61 -> 62 : 0.5
60|61.71 -> 61 : 0.5
60|61.71 -> 69 : 0.5
62|61.60 -> 61 : 1.0
61|62.61 -> 62 : 1.0
62|61.62 -> 63 : 1.0
84|74.64 -> 74 : 1.0
84|74.84 -> 83 : 1.0
71|72.82 -> 61 : 0.5
71|72.82 -> 72
 : 0.5
61|71.72 -> 60 : 0.5
61|71.72 -> 62 : 0.5
71|72.71 -> 61 : 1.0
62|61.71 -> 52 : 0.5
62|61.71 -> 72 : 0.5
61|62.52 -> 51 : 1.0
94|93.83 -> 93 : 1.0
94|93.94 -> 4 : 1.0
90|91.1 -> 99 : 1.0
98|99.98 -> 99 : 0.5
98|99.98 -> 97 : 0.5
97|98.99 -> 98 : 1.0
97|98.88 -> 96 : 1.0


***** Observations ORDER 4 *****
61|71.61.51 -> 60 : 1
61|71.61.51 -> 62 : 1
60|61.71.61 -> 61 : 1
71|72.82.83 -> 61 : 1
71|72.82.83 -> 72
 : 1
61|71.72.82 -> 60 : 1
60|61.71.72 -> 69 : 1
61|71.72.71 -> 62 : 1
62|61.71.72 -> 52 : 1
62|61.71.61 -> 72 : 1
98|99.98.8 -> 99 : 1
98|99.98.99 -> 97 : 1


***** Distributions ORDER 4 *****
61|71.61.51 -> 60 : 0.5
61|71.61.51 -> 62 : 0.5
60|61.71.61 -> 61 : 1.0
71|72.82.83 -> 61 : 0.5
71|72.82.83 -> 72
 : 0.5
61|71.72.82 -> 60 : 1.0
60|61.71.72 -> 69 : 1.0
61|71.72.71 -> 62 : 1.0
62|61.71.72 -> 52 : 1.0
62|61.71.61 -> 72 : 1.0
98|99.98.8 -> 99 : 1.0
98|99.98.99 -> 97 : 1.0


***** Observations ORDER 5 *****
61|71.61.51.41 -> 60 : 1
71|72.82.83.84 -> 61 : 1
71|72.82.83.84 -> 72
 : 1
61|71.61.51.52 -> 62 : 1


***** Distributions ORDER 5 *****
61|71.61.51.41 -> 60 : 1.0
71|72.82.83.84 -> 61 : 0.5
71|72.82.83.84 -> 72
 : 0.5
61|71.61.51.52 -> 62 : 1.0


***** Observations ORDER 6 *****
71|72.82.83.84.74 -> 61 : 1
71|72.82.83.84.94 -> 72
 : 1


***** Distributions ORDER 6 *****
71|72.82.83.84.74 -> 61 : 1.0
71|72.82.83.84.94 -> 72
 : 1.0


***** Observations ORDER 1 *****
60 -> 69 : 1
60 -> 50 : 1
60 -> 61 : 1
69 -> 60 : 1
50 -> 60 : 1
61 -> 71 : 1
61 -> 51 : 1
71 -> 70 : 1
71 -> 72 : 2
71 -> 61 : 1
70 -> 79 : 2
70 -> 80 : 1
70 -> 71 : 1
79 -> 70 : 2
80 -> 70 : 1
72 -> 73 : 3
72 -> 71 : 2
73 -> 72 : 3
73 -> 63 : 1
73 -> 83 : 1
63 -> 53 : 1
63 -> 64 : 1
53 -> 54 : 1
53 -> 52 : 1
53 -> 43 : 1
54 -> 53 : 1
54 -> 55 : 1
52 -> 62 : 1
