***** Distribution. ORDER 1 *****
39 -> 38 : 0.27778
39 -> 29 : 0.2037
91 -> 92 : 0.26087
91 -> 1 : 0.45652
91 -> 90 : 0.13043
91 -> 81 : 0.15217
15 -> 16 : 0.31818
15 -> 25 : 0.25
15 -> 5 : 0.31818
15 -> 14 : 0.11364
95 -> 94 : 0.31667
95 -> 85 : 0.31667
95 -> 5 : 0.23333
95 -> 96 : 0.13333
94 -> 84 : 0.14815
94 -> 93 : 0.31481
94 -> 95 : 0.27778
94 -> 4 : 0.25926
***** Distribution. ORDER 2 *****
67,77 -> 78 : 0.1
67,77 -> 87 : 0.5
67,77 -> 76 : 0.3
67,77 -> 67 : 0.1
78,77 -> 67 : 0.4
78,77 -> 87 : 0.4
78,77 -> 76 : 0.2
76,66 -> 65 : 0.23077
76,66 -> 67 : 0.30769
76,66 -> 76 : 0.15385
76,66 -> 56 : 0.30769
67,66 -> 56 : 0.5
67,66 -> 76 : 0.5
56,66 -> 56 : 0.375
56,66 -> 76 : 0.25
56,66 -> 67 : 0.0625
56,66 -> 65 : 0.3125
55,54 -> 64 : 0.15789
55,54 -> 55 : 0.36842
55,54 -> 53 : 0.31579
55,54 -> 44 : 0.15789
44,54 -> 44 : 0.25
44,54 -> 55 : 0.33333
44,54 -> 53 : 0.33333
44,54 -> 64 : 0.08333
74,73 -> 72 : 0.22222
74,73 -> 83 : 0.22222
74,73 -> 63 : 0.22222
74,73 -> 74 : 0.33333
83,73 -> 83 : 0.22222
83,73 -> 72 : 0.33333
83,73 -> 74 : 0.33333
83,73 -> 63 : 0.11111
51,52 -> 53 : 0.5
51,52 -> 62 : 0.28571
51,52 -> 51 : 0.14286
51,52 -> 42 : 0.07143
53,52 -> 42 : 0.42857
53,52 -> 51 : 0.35714
53,52 -> 53 : 0.07143
53,52 -> 62 : 0.14286
42,43 -> 44 : 0.4
42,43 -> 42 : 0.2
42,43 -> 53 : 0.13333
42,43 -> 33 : 0.26667
44,43 -> 33 : 0.33333
44,43 -> 44 : 0.33333
44,43 -> 53 : 0.33333
43,44 -> 45 : 0.5
43,44 -> 54 : 0.14286
43,44 -> 34 : 0.28571
43,44 -> 43 : 0.07143
45,44 -> 54 : 0.38462
45,44 -> 34 : 0.15385
45,44 -> 45 : 0.38462
45,44 -> 43 : 0.07692
54,44 -> 43 : 0.36364
54,44 -> 45 : 0.18182
54,44 -> 34 : 0.27273
54,44 -> 54 : 0.18182
44,45 -> 46 : 0.31818
44,45 -> 44 : 0.18182
44,45 -> 35 : 0.22727
44,45 -> 55 : 0.27273
46,45 -> 44 : 0.19048
46,45 -> 55 : 0.33333
46,45 -> 46 : 0.2381
46,45 -> 35 : 0.2381
45,46 -> 36 : 0.23529
45,46 -> 47 : 0.11765
45,46 -> 45 : 0.41176
45,46 -> 56 : 0.23529
36,46 -> 56 : 0.3125
36,46 -> 45 : 0.25
36,46 -> 36 : 0.25
36,46 -> 47 : 0.1875
56,46 -> 36 : 0.28571
56,46 -> 45 : 0.14286
56,46 -> 56 : 0.28571
56,46 -> 47 : 0.28571
46,36 -> 26 : 0.38462
46,36 -> 46 : 0.23077
46,36 -> 35 : 0.23077
46,36 -> 37 : 0.15385
26,36 -> 37 : 0.45455
26,36 -> 46 : 0.27273
26,36 -> 26 : 0.18182
26,36 -> 35 : 0.09091
37,36 -> 35 : 0.42857
37,36 -> 46 : 0.28571
37,36 -> 26 : 0.14286
37,36 -> 37 : 0.14286
35,36 -> 46 : 0.45455
35,36 -> 26 : 0.27273
35,36 -> 37 : 0.18182
35,36 -> 35 : 0.09091
36,37 -> 38 : 0.3
36,37 -> 47 : 0.4
36,37 -> 36 : 0.2
36,37 -> 27 : 0.1
47,37 -> 36 : 0.3
47,37 -> 47 : 0.3
47,37 -> 38 : 0.3
47,37 -> 27 : 0.1
38,48 -> 49 : 0.63636
38,48 -> 47 : 0.27273
38,48 -> 38 : 0.09091
58,48 -> 47 : 0.36842
58,48 -> 58 : 0.36842
58,48 -> 49 : 0.15789
58,48 -> 38 : 0.10526
69,68 -> 67 : 0.22222
69,68 -> 78 : 0.33333
69,68 -> 69 : 0.22222
69,68 -> 58 : 0.22222
58,68 -> 58 : 0.41667
58,68 -> 67 : 0.41667
58,68 -> 69 : 0.16667
68,67 -> 77 : 0.33333
68,67 -> 57 : 0.11111
68,67 -> 68 : 0.55556
77,67 -> 66 : 0.14286
77,67 -> 57 : 0.42857
77,67 -> 68 : 0.28571
77,67 -> 77 : 0.14286
66,56 -> 57 : 0.16667
66,56 -> 46 : 0.33333
66,56 -> 55 : 0.44444
66,56 -> 66 : 0.05556
57,56 -> 57 : 0.4
57,56 -> 55 : 0.06667
57,56 -> 46 : 0.26667
57,56 -> 66 : 0.26667
46,56 -> 66 : 0.25
46,56 -> 55 : 0.33333
46,56 -> 46 : 0.16667
46,56 -> 57 : 0.25
56,57 -> 56 : 0.35294
56,57 -> 58 : 0.35294
56,57 -> 47 : 0.05882
56,57 -> 67 : 0.23529
57,58 -> 68 : 0.45455
57,58 -> 59 : 0.27273
57,58 -> 48 : 0.27273
68,58 -> 48 : 0.35714
68,58 -> 59 : 0.28571
68,58 -> 68 : 0.28571
68,58 -> 57 : 0.07143
43,33 -> 34 : 0.33333
43,33 -> 32 : 0.25
43,33 -> 43 : 0.16667
43,33 -> 23 : 0.25
23,33 -> 23 : 0.33333
23,33 -> 34 : 0.22222
23,33 -> 32 : 0.22222
23,33 -> 43 : 0.22222
24,23 -> 33 : 0.33333
24,23 -> 22 : 0.22222
24,23 -> 13 : 0.33333
24,23 -> 24 : 0.11111
33,23 -> 33 : 0.45455
33,23 -> 22 : 0.27273
33,23 -> 24 : 0.18182
33,23 -> 13 : 0.09091
22,23 -> 13 : 0.45455
22,23 -> 24 : 0.27273
22,23 -> 22 : 0.27273
23,22 -> 32 : 0.125
23,22 -> 21 : 0.5
23,22 -> 23 : 0.375
32,22 -> 23 : 0.66667
32,22 -> 21 : 0.16667
32,22 -> 32 : 0.16667
4,3 -> 93 : 0.33333
4,3 -> 2 : 0.5
4,3 -> 13 : 0.16667
93,3 -> 93 : 0.21429
93,3 -> 2 : 0.21429
93,3 -> 4 : 0.35714
93,3 -> 13 : 0.21429
3,93 -> 83 : 0.33333
3,93 -> 3 : 0.33333
