***** Distribution. ORDER 1 *****
46,36,46 -> 45 : 1.0
45,46,36 -> 26 : 0.66667
45,46,36 -> 35 : 0.33333
56,46,36 -> 46 : 0.66667
56,46,36 -> 37 : 0.33333
67,66,56 -> 57 : 1.0
56,66,56 -> 46 : 0.6
56,66,56 -> 55 : 0.4
66,56,57 -> 56 : 1.0
57,56,57 -> 58 : 0.5
57,56,57 -> 67 : 0.25
57,56,57 -> 56 : 0.25
24,23,33 -> 23 : 1.0
33,23,33 -> 23 : 0.66667
33,23,33 -> 32 : 0.33333
23,33,23 -> 33 : 0.66667
23,33,23 -> 22 : 0.33333
83,93,3 -> 93 : 0.33333
83,93,3 -> 2 : 0.33333
83,93,3 -> 4 : 0.33333
4,3,93 -> 83 : 0.33333
4,3,93 -> 3 : 0.66667
93,3,93 -> 83 : 0.66667
93,3,93 -> 3 : 0.33333
93,83,93 -> 3 : 0.33333
93,83,93 -> 92 : 0.33333
93,83,93 -> 83 : 0.33333
73,83,93 -> 3 : 0.5
73,83,93 -> 83 : 0.5
3,93,83 -> 93 : 0.75
3,93,83 -> 73 : 0.25
3,2,12 -> 2 : 0.5
3,2,12 -> 11 : 0.5
12,2,12 -> 11 : 1.0
48,58,48 -> 58 : 0.66667
48,58,48 -> 49 : 0.33333
59,58,48 -> 49 : 0.25
59,58,48 -> 58 : 0.5
59,58,48 -> 47 : 0.25
47,48,58 -> 48 : 0.33333
47,48,58 -> 59 : 0.66667
58,48,58 -> 48 : 0.33333
58,48,58 -> 59 : 0.33333
58,48,58 -> 68 : 0.16667
58,48,58 -> 57 : 0.16667
34,44,54 -> 55 : 0.5
34,44,54 -> 53 : 0.5
43,44,54 -> 53 : 1.0
54,55,54 -> 55 : 0.57143
54,55,54 -> 53 : 0.28571
54,55,54 -> 44 : 0.14286
44,54,55 -> 54 : 1.0
55,54,55 -> 54 : 0.42857
55,54,55 -> 65 : 0.28571
55,54,55 -> 45 : 0.28571
53,54,55 -> 54 : 0.33333
53,54,55 -> 65 : 0.66667
86,87,86 -> 87 : 0.4
86,87,86 -> 96 : 0.2
86,87,86 -> 76 : 0.2
86,87,86 -> 85 : 0.2
96,86,87 -> 86 : 1.0
87,86,87 -> 86 : 0.5
87,86,87 -> 97 : 0.5
41,42,52 -> 53 : 1.0
43,42,52 -> 42 : 0.5
43,42,52 -> 62 : 0.5
51,52,62 -> 72 : 0.5
51,52,62 -> 52 : 0.5
62,52,62 -> 61 : 0.5
62,52,62 -> 72 : 0.5
62,72,71 -> 72 : 1.0
71,72,71 -> 81 : 0.2
71,72,71 -> 61 : 0.4
71,72,71 -> 72 : 0.4
44,54,53 -> 43 : 0.66667
44,54,53 -> 54 : 0.33333
55,54,53 -> 43 : 0.4
55,54,53 -> 63 : 0.2
55,54,53 -> 54 : 0.2
55,54,53 -> 52 : 0.2
53,43,53 -> 54 : 0.66667
53,43,53 -> 63 : 0.33333
52,53,43 -> 42 : 0.5
52,53,43 -> 33 : 0.5
54,53,43 -> 53 : 0.66667
54,53,43 -> 33 : 0.33333
0,90,0 -> 90 : 0.5
0,90,0 -> 9 : 0.25
0,90,0 -> 10 : 0.25
1,0,90 -> 0 : 0.66667
1,0,90 -> 80 : 0.33333
90,0,90 -> 0 : 0.66667
90,0,90 -> 80 : 0.33333
0,9,99 -> 9 : 1.0
99,9,99 -> 89 : 1.0
9,99,89 -> 99 : 1.0
89,99,89 -> 79 : 1.0
98,99,89 -> 79 : 1.0
99,89,79 -> 78 : 0.5
99,89,79 -> 70 : 0.5
79,70,79 -> 70 : 1.0
89,79,70 -> 79 : 1.0
70,79,70 -> 79 : 0.5
70,79,70 -> 80 : 0.5
59,58,59 -> 69 : 0.25
59,58,59 -> 58 : 0.25
59,58,59 -> 49 : 0.5
68,58,59 -> 50 : 0.66667
68,58,59 -> 49 : 0.33333
42,32,33 -> 32 : 1.0
33,32,33 -> 43 : 0.25
33,32,33 -> 34 : 0.25
33,32,33 -> 32 : 0.25
33,32,33 -> 23 : 0.25
44,34,24 -> 25 : 1.0
35,34,24 -> 34 : 1.0
55,45,35 -> 36 : 0.14286
55,45,35 -> 34 : 0.28571
55,45,35 -> 25 : 0.14286
55,45,35 -> 45 : 0.42857
25,35,36 -> 46 : 0.5
25,35,36 -> 26 : 0.5
45,35,36 -> 26 : 0.33333
45,35,36 -> 46 : 0.33333
45,35,36 -> 37 : 0.33333
26,36,46 -> 56 : 1.0
36,46,56 -> 55 : 0.33333
36,46,56 -> 66 : 0.33333
36,46,56 -> 57 : 0.33333
46,56,55 -> 45 : 1.0
66,56,55 -> 45 : 0.5
66,56,55 -> 54 : 0.25
66,56,55 -> 65 : 0.25
56,55,45 -> 35 : 1.0
46,47,46 -> 47 : 0.25
46,47,46 -> 56 : 0.25
46,47,46 -> 45 : 0.5
45,46,47 -> 46 : 0.5
45,46,47 -> 57 : 0.5
47,46,47 -> 46 : 0.33333
47,46,47 -> 57 : 0.33333
47,46,47 -> 48 : 0.33333
24,34,35 -> 45 : 1.0
44,34,35 -> 36 : 1.0
36,35,34 -> 44 : 1.0
45,35,34 -> 24 : 0.25
45,35,34 -> 44 : 0.25
45,35,34 -> 35 : 0.5
34,44,34 -> 33 : 0.66667
34,44,34 -> 35 : 0.33333
45,44,34 -> 35 : 1.0
44,45,44 -> 45 : 0.66667
44,45,44 -> 54 : 0.33333
55,45,44 -> 45 : 1.0
35,45,44 -> 34 : 1.0
41,31,21 -> 31 : 1.0
21,31,21 -> 22 : 0.33333
21,31,21 -> 11 : 0.66667
10,19,29 -> 19 : 0.5
10,19,29 -> 28 : 0.5
29,19,29 -> 28 : 0.5
29,19,29 -> 39 : 0.5
18,19,29 -> 28 : 0.5
18,19,29 -> 19 : 0.5
19,29,28 -> 18 : 0.5
19,29,28 -> 38 : 0.5
18,17,18 -> 17 : 1.0
16,17,18 -> 19 : 1.0
28,18,17 -> 18 : 1.0
17,18,17 -> 7 : 1.0
30,39,49 -> 39 : 0.66667
30,39,49 -> 40 : 0.33333
49,39,49 -> 40 : 0.33333
49,39,49 -> 39 : 0.16667
49,39,49 -> 48 : 0.33333
49,39,49 -> 59 : 0.16667
43,44,45 -> 44 : 0.25
43,44,45 -> 55 : 0.25
43,44,45 -> 46 : 0.25
43,44,45 -> 35 : 0.25
45,44,45 -> 46 : 0.25
45,44,45 -> 35 : 0.25
45,44,45 -> 55 : 0.25
45,44,45 -> 44 : 0.25
50,59,50 -> 51 : 0.25
50,59,50 -> 60 : 0.25
50,59,50 -> 59 : 0.25
50,59,50 -> 40 : 0.25
58,59,50 -> 40 : 0.5
58,59,50 -> 60 : 0.5
59,50,40 -> 30 : 0.25
59,50,40 -> 41 : 0.25
59,50,40 -> 49 : 0.5
50,51,61 -> 51 : 1.0
61,51,61 -> 60 : 1.0
61,60,69 -> 60 : 0.66667
61,60,69 -> 59 : 0.33333
69,60,69 -> 79 : 0.5
69,60,69 -> 60 : 0.5
60,69,79 -> 78 : 1.0
79,69,79 -> 70 : 0.5
79,69,79 -> 69 : 0.5
70,80,81 -> 91 : 1.0
89,80,81 -> 91 : 1.0
80,81,91 -> 92 : 0.42857
80,81,91 -> 1 : 0.28571
80,81,91 -> 81 : 0.28571
92,82,83 -> 93 : 1.0
83,82,83 -> 93 : 0.5
83,82,83 -> 84 : 0.5
83,93,83 -> 82 : 0.5
83,93,83 -> 84 : 0.5
82,83,93 -> 83 : 1.0
67,66,76 -> 66 : 0.5
67,66,76 -> 75 : 0.5
76,66,76 -> 66 : 1.0
56,66,76 -> 86 : 0.5
56,66,76 -> 66 : 0.5
86,76,66 -> 67 : 1.0
66,76,66 -> 76 : 0.4
66,76,66 -> 67 : 0.2
66,76,66 -> 56 : 0.2
66,76,66 -> 65 : 0.2
66,67,66 -> 76 : 0.5
66,67,66 -> 56 : 0.5
76,66,67 -> 66 : 1.0
9,19,29 -> 19 : 1.0
27,26,36 -> 46 : 0.5
27,26,36 -> 26 : 0.5
16,26,36 -> 37 : 1.0
27,26,16 -> 15 : 1.0
36,26,16 -> 26 : 1.0
15,16,17 -> 7 : 0.66667
15,16,17 -> 16 : 0.33333
17,27,28 -> 27 : 0.5
17,27,28 -> 18 : 0.5
26,27,28 -> 38 : 1.0
36,37,36 -> 26 : 1.0
38,37,36 -> 35 : 1.0
27,28,38 -> 37 : 1.0
18,28,38 -> 48 : 1.0
57,47,48 -> 49 : 0.5
57,47,48 -> 47 : 0.5
37,47,48 -> 49 : 1.0
38,48,49 -> 59 : 0.25
38,48,49 -> 39 : 0.75
47,48,49 -> 48 : 0.33333
47,48,49 -> 40 : 0.33333
47,48,49 -> 59 : 0.33333
42,41,51 -> 41 : 1.0
51,41,51 -> 50 : 1.0
33,43,42 -> 52 : 1.0
42,43,42 -> 41 : 0.5
42,43,42 -> 52 : 0.5
40,30,20 -> 30 : 0.25
40,30,20 -> 10 : 0.5
40,30,20 -> 21 : 0.25
20,30,20 -> 29 : 0.5
20,30,20 -> 21 : 0.5
0,1,2 -> 12 : 1.0
91,1,2 -> 3 : 0.75
91,1,2 -> 1 : 0.25
1,2,12 -> 2 : 0.33333
1,2,12 -> 11 : 0.33333
1,2,12 -> 13 : 0.33333
11,21,22 -> 21 : 1.0
22,21,22 -> 12 : 0.5
22,21,22 -> 21 : 0.5
94,95,85 -> 95 : 1.0
85,95,85 -> 86 : 0.25
85,95,85 -> 95 : 0.25
85,95,85 -> 75 : 0.25
85,95,85 -> 84 : 0.25
85,86,87 -> 77 : 0.5
85,86,87 -> 86 : 0.5
76,86,87 -> 77 : 0.5
76,86,87 -> 97 : 0.5
86,87,77 -> 76 : 0.5
86,87,77 -> 67 : 0.25
86,87,77 -> 87 : 0.25
67,57,67 -> 57 : 0.5
67,57,67 -> 77 : 0.5
77,67,57 -> 67 : 1.0
57,67,57 -> 67 : 0.66667
57,67,57 -> 58 : 0.33333
64,74,75 -> 74 : 1.0
73,74,75 -> 85 : 1.0
44,34,33 -> 32 : 0.33333
44,34,33 -> 23 : 0.33333
44,34,33 -> 43 : 0.33333
24,34,33 -> 43 : 0.66667
24,34,33 -> 23 : 0.33333
53,52,51 -> 50 : 1.0
62,52,51 -> 41 : 0.5
62,52,51 -> 52 : 0.5
49,59,50 -> 59 : 0.5
49,59,50 -> 60 : 0.5
71,72,62 -> 72 : 0.5
71,72,62 -> 61 : 0.5
62,72,62 -> 63 : 0.5
62,72,62 -> 52 : 0.5
81,91,90 -> 91 : 1.0
1,91,90 -> 99 : 1.0
41,51,61 -> 71 : 0.5
41,51,61 -> 51 : 0.25
41,51,61 -> 60 : 0.25
52,51,61 -> 71 : 1.0
61,71,61 -> 60 : 0.4
61,71,61 -> 62 : 0.2
61,71,61 -> 51 : 0.2
61,71,61 -> 71 : 0.2
72,71,61 -> 60 : 0.33333
72,71,61 -> 62 : 0.33333
72,71,61 -> 51 : 0.33333
61,62,61 -> 62 : 0.33333
61,62,61 -> 60 : 0.66667
52,62,61 -> 51 : 1.0
51,61,71 -> 61 : 0.75
51,61,71 -> 72 : 0.25
82,72,71 -> 61 : 0.25
82,72,71 -> 72 : 0.5
82,72,71 -> 81 : 0.25
71,61,60 -> 61 : 0.66667
71,61,60 -> 69 : 0.33333
60,61,62 -> 61 : 0.66667
60,61,62 -> 72 : 0.33333
62,61,62 -> 63 : 0.5
62,61,62 -> 72 : 0.5
71,61,62 -> 52 : 0.33333
71,61,62 -> 72 : 0.66667
64,74,84 -> 74 : 0.5
64,74,84 -> 83 : 0.5
84,74,84 -> 83 : 0.66667
84,74,84 -> 85 : 0.33333
74,84,83 -> 82 : 0.5
74,84,83 -> 73 : 0.25
74,84,83 -> 93 : 0.25
94,84,83 -> 82 : 0.5
94,84,83 -> 93 : 0.5
84,83,82 -> 72 : 0.5
84,83,82 -> 81 : 0.25
84,83,82 -> 83 : 0.25
83,82,72 -> 71 : 1.0
83,93,94 -> 93 : 1.0
94,93,94 -> 4 : 1.0
8,98,99 -> 98 : 1.0
99,98,99 -> 98 : 0.33333
99,98,99 -> 90 : 0.66667
98,99,98 -> 99 : 0.5
98,99,98 -> 97 : 0.5
99,98,97 -> 98 : 1.0
88,98,97 -> 96 : 1.0
73,72,71 -> 72 : 0.5
73,72,71 -> 61 : 0.5
71,70,79 -> 70 : 0.33333
71,70,79 -> 69 : 0.66667
70,71,72 -> 73 : 1.0
72,71,72 -> 73 : 0.14286
72,71,72 -> 71 : 0.42857
72,71,72 -> 62 : 0.14286
72,71,72 -> 82 : 0.28571
72,73,72 -> 71 : 0.25
72,73,72 -> 73 : 0.5
72,73,72 -> 62 : 0.25
83,73,72 -> 71 : 1.0
71,72,73 -> 72 : 1.0
73,72,73 -> 63 : 0.5
73,72,73 -> 72 : 0.5
41,40,30 -> 39 : 0.5
41,40,30 -> 20 : 0.5
49,40,30 -> 31 : 1.0
49,48,58 -> 59 : 1.0
47,46,45 -> 46 : 0.6
47,46,45 -> 55 : 0.2
47,46,45 -> 35 : 0.2
45,46,45 -> 46 : 0.16667
45,46,45 -> 44 : 0.5
45,46,45 -> 35 : 0.33333
46,45,46 -> 45 : 0.4
46,45,46 -> 36 : 0.2
46,45,46 -> 47 : 0.2
46,45,46 -> 56 : 0.2
25,24,14 -> 24 : 1.0
14,24,14 -> 15 : 1.0
85,75,74 -> 75 : 1.0
74,75,74 -> 73 : 1.0
89,99,98 -> 99 : 1.0
9,99,98 -> 99 : 1.0
98,99,90 -> 91 : 0.5
98,99,90 -> 0 : 0.5
92,2,1 -> 0 : 0.5
92,2,1 -> 2 : 0.5
1,2,1 -> 0 : 1.0
2,1,0 -> 9 : 0.25
2,1,0 -> 10 : 0.5
2,1,0 -> 90 : 0.25
1,0,9 -> 99 : 1.0
90,0,9 -> 19 : 1.0
53,52,42 -> 41 : 0.5
53,52,42 -> 43 : 0.25
53,52,42 -> 52 : 0.25
32,42,52 -> 53 : 1.0
52,53,52 -> 42 : 0.66667
52,53,52 -> 51 : 0.33333
42,52,53 -> 52 : 0.66667
42,52,53 -> 54 : 0.33333
51,52,53 -> 52 : 1.0
58,59,69 -> 60 : 0.33333
58,59,69 -> 59 : 0.66667
69,59,69 -> 59 : 0.33333
69,59,69 -> 68 : 0.33333
69,59,69 -> 79 : 0.33333
60,69,68 -> 69 : 1.0
68,69,68 -> 58 : 0.5
68,69,68 -> 78 : 0.5
79,69,68 -> 67 : 1.0
56,57,58 -> 59 : 0.25
56,57,58 -> 68 : 0.75
58,57,58 -> 48 : 1.0
68,58,48 -> 58 : 1.0
57,58,48 -> 38 : 0.33333
57,58,48 -> 47 : 0.66667
48,58,59 -> 69 : 0.4
48,58,59 -> 58 : 0.4
48,58,59 -> 50 : 0.2
57,58,59 -> 69 : 1.0
59,69,59 -> 69 : 0.16667
59,69,59 -> 58 : 0.5
59,69,59 -> 50 : 0.16667
59,69,59 -> 49 : 0.16667
19,29,39 -> 38 : 0.5
19,29,39 -> 49 : 0.5
28,29,39 -> 29 : 1.0
39,38,37 -> 27 : 0.33333
39,38,37 -> 36 : 0.33333
39,38,37 -> 47 : 0.33333
28,38,37 -> 36 : 0.5
28,38,37 -> 38 : 0.5
37,27,28 -> 27 : 1.0
28,27,28 -> 38 : 0.33333
28,27,28 -> 27 : 0.33333
28,27,28 -> 18 : 0.33333
21,31,32 -> 31 : 0.4
21,31,32 -> 22 : 0.2
21,31,32 -> 42 : 0.2
21,31,32 -> 33 : 0.2
32,31,32 -> 42 : 0.5
32,31,32 -> 22 : 0.5
54,64,74 -> 64 : 0.5
54,64,74 -> 75 : 0.5
74,64,74 -> 84 : 1.0
5,4,14 -> 4 : 1.0
14,4,14 -> 24 : 1.0
3,4,14 -> 13 : 1.0
6,5,95 -> 5 : 1.0
95,5,95 -> 96 : 0.28571
95,5,95 -> 94 : 0.28571
95,5,95 -> 85 : 0.42857
5,6,5 -> 95 : 1.0
96,6,5 -> 6 : 1.0
15,5,6 -> 5 : 0.5
15,5,6 -> 16 : 0.5
6,5,6 -> 96 : 1.0
6,96,86 -> 96 : 1.0
97,96,86 -> 76 : 1.0
87,88,87 -> 77 : 1.0
89,88,87 -> 97 : 1.0
88,98,8 -> 98 : 1.0
8,98,8 -> 7 : 1.0
98,8,7 -> 8 : 1.0
7,8,7 -> 97 : 0.5
7,8,7 -> 8 : 0.5
96,86,76 -> 75 : 1.0
85,86,76 -> 66 : 1.0
44,45,46 -> 56 : 0.33333
44,45,46 -> 45 : 0.33333
44,45,46 -> 36 : 0.33333
36,46,47 -> 48 : 0.5
36,46,47 -> 46 : 0.5
58,59,58 -> 59 : 0.5
58,59,58 -> 48 : 0.5
50,59,58 -> 68 : 0.5
50,59,58 -> 57 : 0.5
49,39,38 -> 39 : 1.0
38,39,38 -> 48 : 0.25
38,39,38 -> 39 : 0.5
38,39,38 -> 37 : 0.25
47,57,56 -> 57 : 0.33333
47,57,56 -> 46 : 0.66667
56,57,56 -> 46 : 0.25
56,57,56 -> 57 : 0.5
56,57,56 -> 66 : 0.25
65,66,56 -> 46 : 0.33333
65,66,56 -> 55 : 0.33333
65,66,56 -> 66 : 0.33333
57,56,46 -> 36 : 0.5
57,56,46 -> 56 : 0.5
66,56,46 -> 56 : 0.33333
66,56,46 -> 36 : 0.33333
66,56,46 -> 47 : 0.33333
46,45,55 -> 56 : 0.25
46,45,55 -> 45 : 0.5
46,45,55 -> 54 : 0.25
35,45,55 -> 54 : 0.5
35,45,55 -> 45 : 0.5
58,59,49 -> 59 : 1.0
48,49,59 -> 58 : 0.33333
48,49,59 -> 50 : 0.66667
59,49,59 -> 69 : 1.0
39,49,59 -> 58 : 0.33333
39,49,59 -> 69 : 0.66667
49,59,58 -> 59 : 1.0
69,68,58 -> 68 : 1.0
58,68,58 -> 48 : 0.66667
58,68,58 -> 68 : 0.33333
49,59,69 -> 68 : 0.33333
49,59,69 -> 60 : 0.33333
49,59,69 -> 59 : 0.33333
38,37,38 -> 48 : 0.5
38,37,38 -> 28 : 0.5
47,37,38 -> 28 : 0.5
47,37,38 -> 48 : 0.5
48,38,28 -> 29 : 1.0
37,38,28 -> 18 : 0.5
37,38,28 -> 38 : 0.5
39,29,39 -> 38 : 1.0
28,18,19 -> 9 : 1.0
8,18,19 -> 29 : 1.0
24,34,24 -> 14 : 0.4
24,34,24 -> 34 : 0.4
24,34,24 -> 23 : 0.2
33,34,24 -> 25 : 0.5
33,34,24 -> 34 : 0.5
97,7,6 -> 96 : 0.5
97,7,6 -> 7 : 0.5
16,6,96 -> 86 : 1.0
7,6,96 -> 95 : 0.5
7,6,96 -> 97 : 0.5
6,5,4 -> 5 : 1.0
15,5,4 -> 14 : 0.5
15,5,4 -> 3 : 0.5
94,4,14 -> 13 : 1.0
92,91,1 -> 0 : 1.0
90,91,1 -> 11 : 0.25
90,91,1 -> 0 : 0.25
90,91,1 -> 2 : 0.5
32,33,34 -> 33 : 1.0
43,33,34 -> 35 : 0.33333
43,33,34 -> 44 : 0.66667
52,42,52 -> 62 : 1.0
63,53,52 -> 42 : 1.0
42,52,62 -> 63 : 0.5
42,52,62 -> 72 : 0.5
52,62,63 -> 64 : 1.0
63,62,63 -> 53 : 1.0
63,64,63 -> 62 : 0.5
63,64,63 -> 64 : 0.5
74,64,63 -> 53 : 1.0
62,63,64 -> 63 : 0.5
62,63,64 -> 54 : 0.5
53,63,64 -> 74 : 0.5
53,63,64 -> 63 : 0.5
62,63,53 -> 52 : 0.5
62,63,53 -> 63 : 0.5
64,63,53 -> 52 : 0.5
64,63,53 -> 54 : 0.5
35,45,35 -> 36 : 0.5
35,45,35 -> 45 : 0.33333
35,45,35 -> 25 : 0.16667
46,45,35 -> 25 : 0.25
46,45,35 -> 34 : 0.25
46,45,35 -> 36 : 0.5
73,74,84 -> 94 : 1.0
85,84,83 -> 93 : 0.5
85,84,83 -> 82 : 0.5
93,83,82 -> 72 : 0.33333
93,83,82 -> 83 : 0.33333
93,83,82 -> 81 : 0.33333
82,81,82 -> 92 : 0.11111
82,81,82 -> 72 : 0.33333
82,81,82 -> 81 : 0.44444
82,81,82 -> 83 : 0.11111
81,82,72 -> 73 : 1.0
72,82,81 -> 82 : 1.0
92,82,81 -> 80 : 0.2
92,82,81 -> 82 : 0.2
92,82,81 -> 71 : 0.2
92,82,81 -> 91 : 0.4
83,82,81 -> 82 : 0.66667
83,82,81 -> 80 : 0.16667
83,82,81 -> 71 : 0.16667
30,31,32 -> 33 : 0.33333
30,31,32 -> 42 : 0.33333
30,31,32 -> 31 : 0.33333
38,28,38 -> 28 : 0.33333
38,28,38 -> 39 : 0.66667
27,28,27 -> 28 : 0.5
27,28,27 -> 37 : 0.5
28,38,28 -> 38 : 1.0
64,63,64 -> 74 : 0.5
64,63,64 -> 65 : 0.5
63,64,74 -> 84 : 0.5
63,64,74 -> 73 : 0.5
75,76,86 -> 87 : 1.0
66,76,86 -> 85 : 1.0
76,86,85 -> 86 : 1.0
87,86,85 -> 75 : 1.0
44,45,55 -> 54 : 0.66667
44,45,55 -> 65 : 0.33333
65,55,54 -> 53 : 0.5
65,55,54 -> 55 : 0.5
45,55,54 -> 53 : 0.5
45,55,54 -> 64 : 0.5
54,44,45 -> 55 : 0.5
54,44,45 -> 35 : 0.5
65,64,63 -> 73 : 1.0
82,81,91 -> 90 : 0.5
82,81,91 -> 81 : 0.25
82,81,91 -> 1 : 0.25
58,57,47 -> 48 : 0.5
58,57,47 -> 37 : 0.5
67,57,47 -> 37 : 1.0
39,29,20 -> 29 : 1.0
20,29,20 -> 29 : 0.5
20,29,20 -> 10 : 0.5
11,10,0 -> 90 : 0.33333
11,10,0 -> 9 : 0.33333
11,10,0 -> 1 : 0.33333
0,1,11 -> 12 : 0.5
0,1,11 -> 1 : 0.33333
0,1,11 -> 10 : 0.16667
2,1,11 -> 10 : 1.0
12,2,92 -> 82 : 0.33333
12,2,92 -> 91 : 0.33333
12,2,92 -> 93 : 0.33333
92,2,92 -> 91 : 0.66667
92,2,92 -> 82 : 0.33333
4,94,93 -> 94 : 0.66667
4,94,93 -> 83 : 0.33333
95,94,93 -> 92 : 0.5
95,94,93 -> 94 : 0.5
2,3,93 -> 94 : 0.5
2,3,93 -> 3 : 0.5
83,84,85 -> 84 : 1.0
85,84,85 -> 95 : 1.0
13,3,4 -> 94 : 1.0
93,3,4 -> 3 : 0.5
93,3,4 -> 94 : 0.5
93,94,4 -> 3 : 0.5
93,94,4 -> 94 : 0.5
94,4,3 -> 93 : 0.5
94,4,3 -> 2 : 0.5
3,4,3 -> 2 : 1.0
3,4,94 -> 93 : 0.75
3,4,94 -> 4 : 0.25
94,4,94 -> 95 : 0.5
94,4,94 -> 84 : 0.5
3,93,94 -> 4 : 1.0
93,92,91 -> 92 : 1.0
2,92,91 -> 1 : 0.33333
2,92,91 -> 92 : 0.33333
2,92,91 -> 81 : 0.33333
15,25,15 -> 25 : 1.0
35,25,15 -> 16 : 0.5
35,25,15 -> 5 : 0.5
14,15,25 -> 15 : 1.0
25,15,25 -> 35 : 1.0
25,35,25 -> 26 : 0.5
25,35,25 -> 15 : 0.5
15,25,35 -> 25 : 1.0
26,25,35 -> 25 : 1.0
16,15,16 -> 17 : 1.0
25,15,16 -> 6 : 1.0
56,55,54 -> 55 : 1.0
34,35,45 -> 35 : 0.5
34,35,45 -> 55 : 0.5
45,35,45 -> 55 : 0.33333
45,35,45 -> 35 : 0.33333
45,35,45 -> 46 : 0.33333
33,34,35 -> 36 : 1.0
35,34,35 -> 45 : 0.5
35,34,35 -> 34 : 0.5
74,73,63 -> 73 : 1.0
63,73,63 -> 73 : 1.0
64,74,73 -> 63 : 0.5
64,74,73 -> 74 : 0.5
84,74,73 -> 74 : 1.0
73,63,73 -> 63 : 0.5
73,63,73 -> 83 : 0.5
63,73,83 -> 82 : 1.0
72,73,83 -> 84 : 1.0
82,92,93 -> 92 : 1.0
93,92,93 -> 83 : 1.0
53,52,53 -> 43 : 1.0
20,29,19 -> 10 : 1.0
39,29,19 -> 29 : 1.0
19,29,19 -> 10 : 1.0
18,19,10 -> 20 : 1.0
29,19,10 -> 20 : 0.5
29,19,10 -> 19 : 0.5
19,10,20 -> 29 : 0.2
19,10,20 -> 30 : 0.4
19,10,20 -> 10 : 0.2
19,10,20 -> 21 : 0.2
41,31,30 -> 31 : 1.0
21,31,30 -> 31 : 0.5
21,31,30 -> 39 : 0.5
20,30,31 -> 41 : 1.0
31,30,31 -> 41 : 1.0
31,41,31 -> 30 : 0.5
31,41,31 -> 21 : 0.5
31,21,31 -> 30 : 0.25
31,21,31 -> 32 : 0.5
31,21,31 -> 41 : 0.25
20,21,31 -> 30 : 0.2
20,21,31 -> 21 : 0.6
20,21,31 -> 32 : 0.2
30,31,41 -> 31 : 0.66667
30,31,41 -> 42 : 0.33333
0,9,0 -> 9 : 0.33333
0,9,0 -> 90 : 0.33333
0,9,0 -> 1 : 0.33333
8,9,0 -> 1 : 0.5
8,9,0 -> 9 : 0.5
10,0,9 -> 0 : 1.0
9,0,9 -> 0 : 0.66667
9,0,9 -> 99 : 0.33333
90,99,90 -> 99 : 0.5
90,99,90 -> 91 : 0.5
9,99,90 -> 91 : 1.0
0,90,99 -> 90 : 1.0
99,90,99 -> 90 : 1.0
99,90,91 -> 1 : 0.5
99,90,91 -> 92 : 0.5
1,0,1 -> 2 : 1.0
9,0,1 -> 11 : 1.0
2,3,13 -> 14 : 1.0
93,3,13 -> 14 : 0.5
93,3,13 -> 12 : 0.5
3,13,14 -> 4 : 1.0
13,14,4 -> 5 : 0.5
13,14,4 -> 3 : 0.5
48,47,48 -> 58 : 0.25
48,47,48 -> 38 : 0.25
48,47,48 -> 47 : 0.5
49,48,47 -> 48 : 0.5
49,48,47 -> 46 : 0.25
49,48,47 -> 57 : 0.25
47,48,47 -> 48 : 0.4
47,48,47 -> 57 : 0.2
47,48,47 -> 46 : 0.4
68,58,68 -> 67 : 0.66667
68,58,68 -> 69 : 0.33333
57,58,68 -> 58 : 0.5
57,58,68 -> 67 : 0.5
58,68,69 -> 59 : 1.0
98,99,9 -> 8 : 1.0
9,99,9 -> 8 : 0.66667
9,99,9 -> 0 : 0.33333
9,8,9 -> 0 : 0.33333
9,8,9 -> 8 : 0.33333
9,8,9 -> 99 : 0.33333
18,8,9 -> 99 : 0.5
18,8,9 -> 0 : 0.5
99,9,8 -> 9 : 0.5
99,9,8 -> 98 : 0.25
99,9,8 -> 7 : 0.25
67,57,56 -> 57 : 0.5
67,57,56 -> 66 : 0.5
46,56,57 -> 67 : 0.5
46,56,57 -> 56 : 0.5
67,68,58 -> 68 : 0.5
67,68,58 -> 59 : 0.5
40,50,59 -> 49 : 0.5
40,50,59 -> 69 : 0.5
51,50,59 -> 58 : 1.0
69,59,49 -> 40 : 1.0
50,59,49 -> 39 : 1.0
59,49,40 -> 30 : 0.5
59,49,40 -> 41 : 0.5
39,49,40 -> 41 : 1.0
40,41,51 -> 41 : 0.33333
40,41,51 -> 61 : 0.66667
58,48,47 -> 48 : 0.33333
58,48,47 -> 57 : 0.33333
58,48,47 -> 37 : 0.33333
7,97,98 -> 97 : 1.0
98,97,98 -> 97 : 1.0
97,98,97 -> 98 : 0.5
97,98,97 -> 7 : 0.5
87,97,7 -> 8 : 1.0
98,97,7 -> 8 : 1.0
9,8,7 -> 97 : 1.0
18,8,7 -> 6 : 1.0
97,7,8 -> 18 : 0.5
97,7,8 -> 7 : 0.5
17,7,8 -> 18 : 1.0
8,7,8 -> 18 : 1.0
6,7,8 -> 9 : 1.0
0,9,8 -> 7 : 1.0
8,9,8 -> 18 : 0.66667
8,9,8 -> 9 : 0.33333
7,8,18 -> 28 : 0.66667
7,8,18 -> 17 : 0.33333
9,8,18 -> 28 : 1.0
8,18,28 -> 27 : 0.33333
8,18,28 -> 29 : 0.66667
28,29,28 -> 29 : 0.5
